flight_id,date,origin_city,destination_city,duration_hours,distance_miles,popularity,day
1,2025-01-01,Los Angeles,Singapore,15.2,8922,6,wednesday
2,2025-01-01,Los Angeles,New York,6.1,2590,7,wednesday
3,2025-01-01,London,Paris,1.4,311,10,wednesday
4,2025-01-01,London,Nairobi,8.8,4333,7,wednesday
5,2025-01-01,Tokyo,Sydney,9.9,4882,1,wednesday
6,2025-01-01,Nairobi,New York,13.6,7400,6,wednesday
7,2025-01-01,Dubai,Los Angeles,16,8339,4,wednesday
8,2025-01-01,Dubai,London,7.1,3402,10,wednesday
9,2025-01-02,Dubai,New York,13.2,7018,5,thursday
10,2025-01-02,Singapore,Dubai,7.6,3748,8,thursday
11,2025-01-02,Lima,New York,8.2,3663,1,thursday
12,2025-01-02,Los Angeles,London,11.4,5555,9,thursday
13,2025-01-02,Sydney,Paris,22.4,10607,4,thursday
14,2025-01-02,Singapore,Los Angeles,15.3,8919,1,thursday
15,2025-01-02,Tokyo,Los Angeles,11.9,5551,9,thursday
16,2025-01-02,Singapore,Los Angeles,15.5,8883,10,thursday
17,2025-01-03,Lima,Los Angeles,8.6,4229,9,friday
18,2025-01-03,New York,Sydney,23.2,9988,8,friday
19,2025-01-03,London,Los Angeles,11.5,5462,4,friday
20,2025-01-03,Los Angeles,Singapore,15.2,8851,9,friday
21,2025-01-03,Paris,London,1.5,244,9,friday
22,2025-01-03,Singapore,London,15.3,6876,9,friday
23,2025-01-03,Los Angeles,Lima,8.6,4365,5,friday
24,2025-01-03,Tokyo,Singapore,6.8,3381,9,friday
25,2025-01-03,Los Angeles,New York,6.1,2591,1,friday
26,2025-01-04,Lima,New York,8.4,3657,7,saturday
27,2025-01-04,Nairobi,Dubai,5.4,2225,10,saturday
28,2025-01-04,Dubai,Paris,6.8,3274,10,saturday
29,2025-01-04,Tokyo,Dubai,12.7,4959,10,saturday
30,2025-01-04,Tokyo,New York,14.3,6817,9,saturday
31,2025-01-05,Dubai,New York,13.2,6890,2,sunday
32,2025-01-05,Tokyo,Singapore,6.8,3446,3,sunday
33,2025-01-05,Dubai,Singapore,7.8,3651,8,sunday
34,2025-01-05,London,Singapore,15.2,6815,8,sunday
35,2025-01-05,Los Angeles,New York,6.1,2556,3,sunday
36,2025-01-06,Sydney,Los Angeles,15.6,7648,3,monday
37,2025-01-06,Sydney,London,23.5,10602,9,monday
38,2025-01-06,Singapore,Dubai,7.6,3763,9,monday
39,2025-01-06,Sydney,New York,23.2,10072,4,monday
40,2025-01-06,Sydney,Paris,22.4,10585,2,monday
41,2025-01-06,Dubai,London,7.2,3513,7,monday
42,2025-01-06,Sydney,New York,23.2,9986,8,monday
43,2025-01-06,New York,London,7.3,3569,5,monday
44,2025-01-07,Sydney,Paris,22.6,10709,3,tuesday
45,2025-01-07,London,Tokyo,12,5980,6,tuesday
46,2025-01-07,Paris,Tokyo,14,6144,6,tuesday
47,2025-01-07,Lima,New York,8.2,3654,9,tuesday
48,2025-01-07,Sydney,Dubai,14.4,7560,8,tuesday
49,2025-01-07,Paris,Sydney,22.5,10623,9,tuesday
50,2025-01-07,Dubai,London,7.1,3455,8,tuesday
51,2025-01-07,Tokyo,Singapore,6.8,3346,9,tuesday
52,2025-01-08,Sydney,Tokyo,9.9,4916,7,wednesday
53,2025-01-08,London,Nairobi,8.7,4294,1,wednesday
54,2025-01-08,Sydney,Paris,22.3,10539,1,wednesday
55,2025-01-08,Sydney,New York,23.2,9938,5,wednesday
56,2025-01-08,Los Angeles,New York,6.1,2512,5,wednesday
57,2025-01-08,Sydney,Paris,22.4,10824,6,wednesday
58,2025-01-08,Nairobi,London,8.9,4241,9,wednesday
59,2025-01-08,Paris,Dubai,6.8,3267,7,wednesday
60,2025-01-08,Dubai,London,7.2,3588,3,wednesday
61,2025-01-08,Sydney,New York,23.3,9935,7,wednesday
62,2025-01-09,Lima,New York,8.2,3664,10,thursday
63,2025-01-09,Los Angeles,Tokyo,12,5605,10,thursday
64,2025-01-09,Dubai,New York,12.9,6955,7,thursday
65,2025-01-09,Paris,Dubai,6.7,3332,3,thursday
66,2025-01-09,Dubai,Los Angeles,15.9,8317,6,thursday
67,2025-01-09,Paris,Singapore,14.1,7124,1,thursday
68,2025-01-09,Nairobi,Paris,8.2,4134,8,thursday
69,2025-01-09,New York,Dubai,13,6848,9,thursday
70,2025-01-09,Tokyo,Sydney,10.1,4919,6,thursday
71,2025-01-10,Lima,Los Angeles,8.7,4266,8,friday
72,2025-01-10,Tokyo,New York,14.5,6849,10,friday
73,2025-01-10,New York,Paris,7.7,3673,8,friday
74,2025-01-10,Dubai,Nairobi,5.4,2401,4,friday
75,2025-01-10,Tokyo,New York,14.4,6844,3,friday
76,2025-01-10,Singapore,Paris,14.1,6983,5,friday
77,2025-01-10,Los Angeles,Singapore,15.4,9010,3,friday
78,2025-01-10,New York,Tokyo,14.4,6802,5,friday
79,2025-01-10,Dubai,Los Angeles,16,8418,9,friday
80,2025-01-11,Tokyo,Dubai,12.2,4982,6,saturday
81,2025-01-11,Tokyo,London,11.7,5994,5,saturday
82,2025-01-11,Sydney,Dubai,14.3,7580,5,saturday
83,2025-01-11,London,Los Angeles,11.7,5542,4,saturday
84,2025-01-11,Singapore,Los Angeles,15.5,8994,10,saturday
85,2025-01-12,New York,Paris,7.4,3670,3,sunday
86,2025-01-12,Los Angeles,Paris,10.5,5674,10,sunday
87,2025-01-12,Sydney,New York,23.2,10048,7,sunday
88,2025-01-12,London,Sydney,23.5,10598,5,sunday
89,2025-01-12,Paris,Nairobi,8.3,4124,3,sunday
90,2025-01-12,New York,Tokyo,14.3,6813,6,sunday
91,2025-01-12,Dubai,Tokyo,12.8,4936,4,sunday
92,2025-01-12,Singapore,Paris,14.4,7006,2,sunday
93,2025-01-13,Los Angeles,Paris,10.6,5708,3,monday
94,2025-01-13,Los Angeles,Sydney,15.6,7534,6,monday
95,2025-01-13,Tokyo,Los Angeles,12.1,5488,2,monday
96,2025-01-13,Paris,Nairobi,8.1,4178,8,monday
97,2025-01-13,Sydney,London,23.4,10574,7,monday
98,2025-01-14,Paris,New York,7.5,3721,10,tuesday
99,2025-01-14,London,Los Angeles,11.3,5601,1,tuesday
100,2025-01-14,Paris,London,1.6,236,7,tuesday
101,2025-01-14,New York,Nairobi,13.5,7440,3,tuesday
102,2025-01-14,Los Angeles,Tokyo,11.9,5557,5,tuesday
103,2025-01-14,London,Nairobi,8.6,4252,5,tuesday
104,2025-01-14,Paris,Tokyo,13.7,6161,2,tuesday
105,2025-01-14,Dubai,Singapore,7.8,3742,5,tuesday
106,2025-01-14,London,Los Angeles,11.3,5607,7,tuesday
107,2025-01-14,Nairobi,London,9,4317,8,tuesday
108,2025-01-15,Tokyo,Los Angeles,12.1,5546,6,wednesday
109,2025-01-15,Los Angeles,London,11.4,5518,8,wednesday
110,2025-01-15,Sydney,New York,23.4,9952,8,wednesday
111,2025-01-15,Dubai,Los Angeles,16.1,8347,6,wednesday
112,2025-01-15,Tokyo,Dubai,12.2,5058,8,wednesday
113,2025-01-15,New York,Nairobi,13.8,7501,8,wednesday
114,2025-01-15,London,Paris,1.3,265,1,wednesday
115,2025-01-16,Paris,Tokyo,13.7,6045,6,thursday
116,2025-01-16,New York,Lima,8.3,3688,9,thursday
